Title,StartPage,EndPage,YearReference,Composers
12th Street Rag,1,1,1914,Euday L. Bowman
Hindustan,2,3,1918,Oliver Wallace & Harold Weeks
Indiana (Back Home Again In),4,5,1918,Ballard Macdonald & James F. Hanley
Suez,6,7,1922,Ferdie Grofe / Peter DeRose
Afghanistan,8,8,1920,William Wilander & Harry Donelly
Whispering,9,9,1920,"Schonberger / Coburn, V. Rose"
Eccentric,10,11,1921,J. Russell Robinson
Margie (My Little),12,13,1920,Con Conrad & J. Russel Robinson
Mandy,14,14,1918,Irving Berlin
Oh,15,15,1919,Byron Gay / Arnold Johnson
Panama,16,17,1913,William H Tyres
Pearls,18,19,1919,Jelly Roll Morton
Swanee,20,20,1919,Gorge Gershwin
Stumbling,21,21,1922,Zez Confrey
San,22,23,1920,McPhail/Michels
Sensation (Rag),24,24,1917,Original Dixieland Jass Band
At a Georgia Camp Meeting,25,25,1897,Kerry Mills
Rock A Bye Your Baby,26,27,1918,Jean Schwartz
That's A Plenty,28,29,1914,Lew Pollack / Ray Gilbert
Just a Little While to Stay Here,30,30,1921,E. M. Bartlett
Flee As A Bird,31,31,1857,Mary S.B. Dana
I Ain't Gonna Give None of My Jelly Roll,32,33,1919,Clarence Williams & Spencer Williams
Down Among The Sheltering Palms,34,35,1914,Abe Olman
Washington and Lee Swing,36,36,1910,T. Allen and M. Sheafe
Second Line (Joe Avery Blues),37,37,1920,Joe Avery
Pretty Baby,38,39,1916,Egbert Van Alstyne & Gus Kahn
Bill Bailey,40,41,1902,Hughie Cannon
China Boy,42,42,1922,Winfree / Boutelje
Frankie And Johnnie,42,42,1899,Bill Dooley
Alice Blue Gown,43,43,1919,Harry Tierney & Joseph McCarthy
Jazz Baby,44,45,1918,M.K. Jerome & Blanche Merrill
Willie The Weeper,46,47,1904,Walter Melrose
World Is Waiting For The Sunrise,48,48,1919,Eugene Lockhart & Ernest Seity
Yama Yama Man,49,49,1908,Collin Davis & Karl Hoschna
Yellow Dog Blues,50,51,1914,W.C Handy
You've Got To See Your Mama Ev'ry Night,52,53,1923,Billy Rose & Con Conrad
Down In Honky Tonk Town,54,55,1915,Chris Smith & Charles McCarron
Down in Jungle Town,56,57,1908,Edward Madden & Theodore Morse
My Daddy Rocks Me,58,59,1922,J. Berni Barbour
There'll Be Some Changes Made,60,61,1921,Higgins / Overstreet
Creole Belles,62,63,1900,Jens Bodewalt Lampe
Skeleton Jangle,64,65,1918,Nick LaRocca
Sobbin' Blues,66,67,1922,Kassel and Berton
Hesitating Blues,68,69,1915,W.C. Handy
Grizzly Bear Rag,70,71,1910,George Betsford
He May Be Your Man,72,73,1922,Lemuel Fowler
Satanic Blues,74,75,-,-
Dangerous Blues,76,77,1921,-
Tishomingo Blues,78,79,1917,Spencer Williams
Memphis Blues,80,80,1912,W.C. Handy
Midnight in Moscow,81,81,-,-
Storyville Blues,82,83,-,-
Strut Miss Lizzie,84,85,1921,Turner Layton & Henry Creamer
Tain't Nobody's Business If I Do,86,87,1922,Porter Grainger & Everett Robbins
Tain't Nothin Else But Jazz,88,88,1921,Maceo Pinkard
"Maitland (Take My Hand, Precious Lord)",89,89,-,-
